Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts h2o2 Replicate 1	Raw Counts h2o2 Replicate 2	Normalized Counts h2o2 Replicate 1	Normalized Counts h2o2 Replicate 2	RPKM h2o2	Expression h2o2	Raw Counts expon Replicate 1	Raw Counts expon Replicate 2	Normalized Counts expon Replicate 1	Normalized Counts expon Replicate 2	RPKM expon	Expression expon	Raw Counts stat Replicate 1	Raw Counts stat Replicate 2	Raw Counts stat Replicate 3	Normalized Counts stat Replicate 1	Normalized Counts stat Replicate 2	Normalized Counts stat Replicate 3	RPKM stat	Expression stat	pValue h2o2 vs expon	qValue h2o2 vs expon	pValue h2o2 vs stat	qValue h2o2 vs stat	pValue expon vs stat	qValue expon vs stat
372726	372726	373058		+	SSO0428	SSO0428	hypothetical protein	6037	3986	167600	157685	382	488	10738	7609	236770	227899	763	697	1125	1151	1015	69688	55290	68508	79	193	0.6256967360183304	1.0	1.4568613224771064E-14	6.360742351853061E-14	2.3896737842182247E-30	8.680343629254765E-30
	373055	374035	374035	+	SSO0429	SSO0429	hypothetical protein	6587	7427	182856	293749	181	242	22533	16051	496830	480715	545	498	2247	2829	2064	139087	135856	139254	58	140	0.3710033946966416	0.9845980969229713	3.111081057780905E-5	9.762898521040278E-5	1.873968289361128E-21	6.245892167859948E-21
374344	374344	374018	373603	-	NA	NA	Novel protein	6468	3241	179545	128197	377	470	7401	6208	163193	185944	577	533	744	1168	797	46083	56103	53819	66	159	0.1739478531891005	0.5503045396114532	3.6702572521313833E-22	1.8822917340831953E-21	1.6311932697191973E-27	5.8166147177959466E-27
374402	374402	375382	375382	+	SSO0430	SSO0430	Oxidoreductase	2788	2821	77396	111593	72	96	3287	2767	72484	82898	85	79	489	648	474	30294	31130	32033	13	31	0.007954065231589272	0.041475720378454616	4.431686622225736E-22	2.2690527064126177E-21	2.7796046055433042E-12	7.781393108863584E-12
	375989	375411	375411	-	SSO0432	SSO0432	HAM1 protein	567	324	15742	12841	19	24	402	313	8865	9402	17	15	198	299	161	12290	14397	10896	9	21	2.1175049850974455E-6	1.0	0.003296974543370039	1.0	0.025227735324185267	1.0
	376620	375949		-	SSO0433	SSO0433	O-sialoglycoprotein endopeptidase	473	363	13143	14392	15	20	276	177	6101	5327	9	8	274	415	204	17013	19970	13784	10	25	8.884154811583901E-14	1.0	0.19729492394687248	1.0	1.0055855651739766E-18	1.0
377488	377348	376608		-	SSO0434	SSO0434	O-sialoglycoprotein endopeptidase	2276	1503	63199	59482	64	82	2168	1509	47804	45199	68	62	854	1122	833	52881	53903	56222	30	73	0.0018990653978140195	0.012605097192739962	0.005773807029881883	0.015561784661491171	0.5467399904377706	1.0
	377816	377589	377557	-	SSO5844	SSO5844	30S ribosomal protein S27ae	2915	1335	80920	52824	237	293	3142	2630	69278	78788	351	324	596	573	474	36948	27555	31995	58	141	0.16884752247198848	0.5402079521637205	1.3018711029005362E-9	4.912393628278024E-9	7.780860655313446E-10	2.04403537721441E-9
378180	378120	377758		-	SSO0435	SSO0435	30S ribosomal protein S24e	3661	1583	101624	62611	183	226	5346	4047	117886	121219	358	329	473	457	384	29287	21942	25907	29	70	0.7478284717473964	1.0	6.783033352643246E-28	3.763918507447134E-27	1.2863409050475188E-63	6.160583442173732E-63
378990	378990	378187	378181	-	SSO0436	SSO0436	putative thiazole biosynthetic enzyme	747	425	20761	16843	18	23	1169	3108	25782	93089	73	73	2939	2635	2913	181983	126557	196551	84	209	4.616686825870096E-4	0.0036019413756725833	3.6957699955606816E-48	2.506521132065447E-47	7.322417423244186E-14	2.1504420225055802E-13
379080	379080	379286		+	NA	NA	Novel protein	911	335	25308	13274	76	93	523	865	11550	25930	93	90	1356	1558	1488	83970	74836	100451	171	417	0.012218319130439035	0.05980444568090678	3.347548447534021E-9	1.2480141697213662E-8	9.031920989645881E-70	4.484269543982078E-69
	379208	379837	379973	+	SSO0437	SSO0437	3-octaprenyl-4-hydroxybenzoate decarboxylase	2548	1048	70749	41486	72	89	2263	2802	49901	83939	111	106	4266	5141	4945	264071	246843	333664	183	446	0.3007773097129215	0.837495317653242	1.0202800152314368E-10	4.025515446660916E-10	2.3261257377748335E-34	8.766621575899584E-34
380590	380588	380199	379695	-	SSO0438	SSO0438	hypothetical protein	9987	12089	277236	478139	718	968	10399	7785	229294	233181	646	592	9800	12581	9913	606653	604072	668829	666	1606	8.389913878171689E-4	0.006088065711596379	0.7477655121765165	1.0	5.614773939321809E-9	1.4433353652443262E-8
	381177	380629	380591	-	SSO0439	SSO0439	tRNA-splicing endonuclease subunit alpha	1423	1491	39515	58971	67	89	3591	2226	79191	66695	146	132	570	870	520	35292	41804	35102	28	68	0.8669302679850927	1.0	0.0011047687092266758	0.0031580762092035274	3.887365086198875E-6	9.126219844145623E-6
381825	381825	381178		-	SSO0440	SSO0440	hypothetical protein	3905	3007	108399	118933	135	175	7732	5488	170481	164382	282	258	1278	1669	1250	79141	80145	84384	52	125	0.7181915195044534	1.0	3.2836184393407285E-4	9.698201329855493E-4	4.894305779403957E-7	1.1819995260887911E-6
	382255	381851	381826	-	SSO0441	SSO0441	hypothetical protein	1125	761	31248	30104	59	75	1512	1093	33346	32751	89	81	312	466	381	19351	22388	25744	23	55	0.08689736065173762	0.31638770024427976	1.6979980913915E-4	5.131910736409455E-4	0.0062139542603248535	0.012982576921067968
	382608	382252		-	SSO0442	SSO0442	hypothetical protein	4852	2414	134704	95495	259	322	3282	2749	72371	82348	234	216	679	766	674	42051	36817	45485	47	116	4.5432014138791947E-4	0.003553514070705008	2.505447731073823E-17	1.1640983263929569E-16	1.6074336822707572E-5	3.706623002154716E-5
384325	384325	382601		-	SSO0444	SSO0444	glycyl-tRNA synthetase	2514	1505	69789	59547	29	37	4359	2701	96127	80912	56	51	316	428	234	19597	20563	15831	4	10	0.6264442915707668	1.0	3.1478525952179E-37	1.0	2.5742623060201695E-74	1.0
384378	384378	385271	385271	+	SSO0445	SSO0445	Agmatinase (agmatine ureohydrolase) (speB-1)	12427	4857	344962	192123	246	300	10529	10191	232147	305217	321	300	372	494	424	23032	23761	28629	11	28	0.07339928552694382	0.2756236138062438	0.0	0.0	0.0	0.0
385257			385157	-	-	predicted RNA	antisense: SSO0445	7830	2626	217356	103867	1319	1590	3437	3758	75801	112561	987	932	114	139	99	7071	6713	6736	28	67	4.7207238541219537E-5	4.665274081867188E-4	0.0	0.0	0.0	0.0
385404	385404	385258		-	SSO5865	SSO5865	DNA-directed RNA polymerase subunit P	7518	2275	208715	90010	849	1016	3342	3506	73690	105011	645	607	54	58	49	3352	2816	3324	8	21	6.545243493305311E-5	6.288686109462788E-4	0.0	0.0	0.0	0.0
385500	385500	385661	386225	+	SSO5866	SSO5866	Protein translation factor SUI1 homolog	4528	1940	125697	76763	508	624	3681	2885	81162	86405	561	517	7211	10052	7340	446356	482627	495244	1222	2930	0.009373275082044961	0.04747521383526737	2.1567523057538495E-7	7.410562834229286E-7	1.1585629965125231E-64	5.582982365547189E-64
386726	386723	385794	385612	-	SSO0446	SSO0446	transcription initiation factor IIB	7041	7795	195454	308311	202	270	8503	7083	187488	212142	232	214	17743	24471	17969	1098313	1174930	1212336	520	1249	0.008167471565199834	0.04244630881880982	3.9573158910889556E-5	1.2368598764015982E-4	2.4621903662679173E-56	1.1271762662047098E-55
387452	387452	388036		+	SSO0447	SSO0447	hypothetical protein	2451	1370	68058	54198	83	104	4151	3531	91524	105755	182	168	204	323	203	12627	15538	13713	10	23	0.8384377304545885	1.0	5.855245901047106E-66	4.500587775298676E-65	2.910753751391991E-200	2.050039915855943E-199
	388033	389013		+	SSO0448	SSO0448	Histidinol-phosphate aminotransferase, putative	2236	1462	62072	57856	47	61	3649	2683	80475	80366	89	81	342	533	354	21196	25598	23942	10	24	0.5933520266902753	1.0	8.844226653169422E-17	1.0	5.302523366583621E-30	1.9193901442063734E-29
389484	389447	389010	389010	-	SSO0449	SSO0449	hypothetical protein	1782	714	49487	28261	72	88	1394	1280	30736	38354	84	78	585	948	791	36240	45545	53374	42	102	0.007563204118092371	0.03982219321008544	0.17638378869737956	0.40854370105278465	0.07128296198507919	0.1407126573617955
390195	390195	389485	389485	-	SSO0450	SSO0450	Alanyl-tRNA synthetase truncated homolog	3158	2446	87677	96779	100	129	2991	2425	65949	72632	105	97	6298	7634	6715	389848	366561	453053	233	567	0.002151075801318372	0.014097471514745457	9.813240805720892E-7	3.3061275571654907E-6	3.6586366390406215E-74	1.8340315390231006E-73
390468	390468	390199	390196	-	NA	NA	Novel protein	4119	2777	114346	109851	324	415	812	752	17917	22540	80	74	5158	5815	5907	319298	279220	398519	502	1230	2.4529180260864958E-116	6.941758013824783E-114	0.003862714197807341	0.010529447721343479	0.0	0.0
390557	390557	391183	391183	+	SSO0451	SSO0451	hypothetical protein	14833	22028	411760	871233	745	1023	144820	116020	3193037	3474671	5767	5317	835	975	833	51705	46830	56213	33	82	0.001716668695033859	0.011517219068190525	0.0	0.0	0.0	0.0
391184			391247	+	-	predicted RNA	-	288	549	8001	21724	165	232	3542	2601	78107	77908	1330	1218	14	16	10	911	794	714	5	12	5.790301069006053E-15	2.403360963708779E-13	0.0	0.0	0.0	0.0
391248	391248	392390	392390	+	SSO0452	SSO0452	tryptophanyl-tRNA synthetase	8024	5231	222756	206911	147	187	26376	17733	581556	531088	535	486	765	963	822	47400	46242	55475	17	43	0.07902307706573852	0.2925075373432152	8.871725546903007E-52	6.206220590451474E-51	0.0	0.0
392811	392811	392359	392353	-	SSO0454	SSO0454	hypothetical protein	1929	684	53564	27055	73	88	1448	1114	31932	33379	78	72	268	420	297	16629	20179	20052	17	41	0.002403002005439453	0.015455671989531029	2.2935000893430435E-12	9.545007724765901E-12	2.511730419509118E-5	5.753507576108819E-5
392792	392792	393589		+	SSO0453	SSO0453	hypothetical protein	545	251	15145	9943	12	15	893	669	19699	20057	27	24	88	109	70	5448	5249	4725	2	6	0.8617607658318276	1.0	1.7753473834712077E-12	1.0	9.856560760519299E-32	1.0
393598	393598	394158		+	SSO0455	SSO0455	hypothetical protein	1548	633	42983	25062	49	60	1596	1178	35199	35282	68	62	525	634	464	32536	30467	31337	23	56	0.049513361177142716	0.20069673612557978	0.018684482181781224	1.0	0.5669124661443572	1.0
	394148	394873	394873	+	SSO0456	SSO0456	hypothetical protein	1455	775	40404	30665	39	48	1862	1271	41061	38068	59	54	502	561	397	31106	26959	26848	16	38	0.11628402203394995	1.0	0.0011492241458534128	1.0	0.02221154730403705	1.0
395194	395194	394844	394827	-	SSO0458	SSO0458	Transcriptional regulator, putative	4231	1676	117460	66299	214	261	2275	2466	50179	73880	187	176	1443	2249	1819	89362	107983	122785	126	304	3.0442181043197856E-4	0.0025271069223326646	0.162384224016463	0.3783698273677016	0.0013874324225949014	0.0029786738838192607
	396395	395505	395435	-	SSO0460	SSO0460	MRP protein homolog, conserved ATPase (mrp)	15348	15562	426062	615501	440	584	28245	24004	622759	718912	813	752	13736	16496	13048	850306	792056	880329	390	943	0.287830024048247	0.8123434858224777	0.35698174729732385	0.7749540999557665	0.5348425152564383	0.9834404902500251
396959	396959	396396		-	SSO0461	SSO0461	hypothetical protein	1795	1517	49854	60018	74	97	2853	2158	62919	64656	123	113	583	756	535	36111	36322	36159	26	64	0.2457526528137198	0.7176622966314351	6.669280088601386E-5	2.0454649178143955E-4	1.2819890449805243E-4	2.860811395716396E-4
	397767	397123	397123	-	SSO0463	SSO0463	hypothetical protein	1129	534	31360	21151	32	40	1221	1006	26928	30136	47	44	1037	1310	958	64249	62900	64677	41	99	0.11074860326195662	1.0	0.05901218888530426	0.14626189808913387	9.372021139612902E-9	2.3874878729635813E-8
398309	398309	397707		-	SSO0464	SSO0464	hypothetical protein	11357	5579	315281	220665	357	444	8583	7804	189250	233745	376	350	10994	12886	10163	680582	618700	685681	454	1097	0.008280789425562866	0.04282075993650698	0.18466279223155516	0.42645049867717444	3.3633352410815027E-13	9.739593121382994E-13
399098	398935	398312	398310	-	SSO0465	SSO0465	hypothetical protein	9141	4989	253745	197345	288	361	5044	3981	111218	119242	200	184	2056	2734	2207	127278	131296	148910	90	217	3.920602646073381E-6	4.862484476982643E-5	6.208023023949488E-5	1.9096418649757664E-4	0.4767161227055852	0.8822932758516568
399141	399141	401654	401654	+	SSO0466	SSO0466	Integral membrane protein, putative	1447	599	40183	23691	10	12	2502	1840	55164	55114	23	21	154	168	146	9538	8107	9913	1	3	0.6363840987894078	1.0	1.2269775997448722E-36	1.0	1.8111664744008887E-127	1.0
402570	402570	401626		-	SSO0468	SSO0468	hypothetical protein	1687	1592	46835	62966	44	58	3539	2701	78033	80896	91	84	209	273	208	12994	13108	14077	5	14	0.8147704545630664	1.0	3.0692154285683373E-56	1.0	4.771914618209417E-130	2.9070391793514517E-129
402506	402506	403264		+	SSO0467	SSO0467	hypothetical protein	473	356	13147	14080	13	17	657	532	14497	15933	21	20	150	223	162	9343	10749	10983	5	13	0.12169192650256128	1.0	2.773807879753857E-4	1.0	0.0048908645425654465	1.0
	403245	404993	405090	+	SSO0469	SSO0469	hypothetical protein	1538	1645	42702	65084	23	30	3233	1920	71294	57529	40	36	2062	2864	1946	127671	137512	131304	31	75	0.296078651958676	1.0	0.05969139257987158	0.147827609467892	6.840527918728549E-6	1.5939044469312856E-5
406178	406178	405273	405273	-	SSO0470	SSO0470	hypothetical protein	2335	1206	64844	47703	49	62	2439	1796	53790	53812	64	59	389	417	316	24090	20060	21352	9	24	0.04649149601784498	0.19007418774498103	1.2271116999171772E-17	1.0	1.0622632953483226E-13	3.107918833100872E-13
406229	406229	406510	406716	+	SSO5909	SSO5909	hypothetical protein	2477	950	68769	37601	154	188	1253	1031	27635	30880	112	103	2388	2841	2447	147852	136408	165093	219	531	3.086477231995917E-7	4.733105233105069E-6	0.009429818271946382	0.02500427962569769	1.744800118128912E-69	8.648985298941565E-69
407622	407622	406507		-	SSO0472	SSO0472	Alcohol dehydrogenase (Zn containing) (adh-1)	434	389	12056	15414	9	12	285	234	6293	7028	6	5	519	640	458	32185	30753	30936	11	28	6.769183115357096E-10	1.0	0.07969793015661299	1.0	1.0326581208182244E-60	1.0
407678	407678	409012		+	SSO0473	SSO0473	DNA repair protein rad25	1559	949	43291	37555	23	30	1166	837	25728	25067	20	19	224	295	230	13915	14204	15570	4	10	3.7129204704769846E-6	1.0	2.7617209320181516E-23	1.0	1.4098789905300613E-5	1.0
	408999	410456	410497	+	SSO0475	SSO0475	hypothetical protein	4670	2584	129643	102206	63	79	4747	3575	104663	107071	79	72	1418	1772	1349	87819	85119	91047	25	60	0.033904629178893655	0.14458234333410402	0.001192526114919154	0.003396462759143025	0.16519028785480375	0.3196006004300833
412068	412068	410443	410337	-	SSO0477	SSO0477	hypothetical protein	3841	1762	106630	69726	43	54	2119	1406	46723	42119	30	27	16452	17781	14030	1018389	853760	946599	238	577	3.4947824416394124E-8	1.0	8.446236001962122E-49	5.791438915001781E-48	0.0	0.0
412196	412196	413338	413370	+	SSO0478	SSO0478	hypothetical protein	676	661	18765	26164	14	19	364	252	8039	7562	7	6	1724	1970	1733	106760	94608	116977	38	92	1.3648698364471083E-22	1.0	1.4812600203662625E-10	5.807509374559414E-10	0.0	0.0
413371	413371	413919	413969	+	SSO0479	SSO0479	hypothetical protein	428	408	11886	16142	19	25	328	244	7246	7312	14	13	1594	2296	1263	98712	110262	85245	75	178	6.540445060945124E-9	1.0	2.768674598307458E-29	1.5843536809799848E-28	0.0	0.0
415329	415324	413903	413903	-	SSO0480	SSO0480	Histone acethyltransferase, putative	2317	1178	64336	46626	31	39	2612	1803	57597	54008	43	39	2556	3259	2551	158233	156491	172149	47	114	0.07329879152415145	1.0	0.0048990386262940605	0.013249962852870036	7.14301646285637E-15	2.136043251572707E-14
415401	415401	416033	416049	+	SSO0481	SSO0481	hypothetical protein	3342	1618	92777	64031	99	123	4822	3656	106327	109514	185	170	805	1038	726	49843	49852	49015	32	78	0.6296960579253535	1.0	6.319170433132457E-6	2.0576963973160393E-5	1.7309006966465402E-9	4.490244890550566E-9
416082	416110	416394	416394	+	SSO0482	SSO0482	hypothetical protein	45022	27295	1249753	1079565	3228	4086	25335	22063	558603	660770	2305	2139	178292	209925	147770	11036175	10079073	9969460	15134	36356	0.0037395705632555787	0.022604433327018673	9.148832745992977E-10	3.477450102353619E-9	0.0	0.0
416395	416485	416748		+	SSO0483	SSO0483	hypothetical protein	2302	3422	63912	135380	275	377	5673	3987	125092	119434	507	463	37764	47392	28799	2337605	2275435	1942983	3474	8277	0.3064128357759423	0.8509037981895704	8.510236658420858E-246	1.0857527343304972E-244	0.0	0.0
	416732	417616	417616	+	SSO0484	SSO0484	tatC protein (tatC)	1290	1602	35819	63386	41	56	3106	2010	68485	60222	80	72	32349	46274	24012	2002401	2221778	1619998	933	2201	0.4726459780954077	1.0	0.0	0.0	0.0	0.0
417617	417750	418706		+	SSO0485	SSO0485	ABC transporter	4416	1174	122602	46469	74	88	11013	8717	242828	261080	285	263	6951	14650	4897	430262	703403	330411	223	509	0.007339362245481487	0.03898879636550148	1.99026093811261E-12	8.3163520809994E-12	5.287474140886483E-4	0.0011518479356598756
	418707	419693		+	SSO0486	SSO0486	Iron (III) ABC transporter, permease protein	657	297	18259	11767	12	15	1778	1051	39208	31478	39	35	1672	4011	1125	103512	192617	75915	55	125	0.06700871581287525	1.0	2.0189735283380295E-43	1.3287662988829358E-42	1.107843662332332E-30	4.0383106801411585E-30
	419671	420330	420330	+	SSO0487	SSO0487	Iron (III) ABC transporter, ATP-binding protein	417	180	11590	7154	11	14	582	326	12849	9784	19	17	528	1550	385	32735	74424	26034	30	67	0.13759453099026575	1.0	2.498257992686247E-10	1.0	5.896262281050988E-47	1.0
421244	421244	420471	420471	-	SSO0488	SSO0488	Phosphate ABC transporter, ATP-binding protein	419	377	11655	14917	13	17	2089	1523	46074	45613	64	59	359	430	271	22239	20680	18327	11	26	1.808464564216138E-5	2.0536064463942143E-4	0.824668849852124	1.0	4.356560246003051E-11	1.1782773280458295E-10
421390	421390	422607	422607	+	SSO0489	SSO0489	Phosphate binding periplasmic protein precursor	1181	975	32790	38595	22	29	5725	4220	126243	126391	113	103	2070	2386	1096	128156	114603	73970	36	86	2.7726419716413323E-5	2.945813808095382E-4	0.0027741177984840783	0.007642326289098174	0.22780701369509887	0.43613975008169914
	422610	423494		+	SSO0490	SSO0490	Phosphate transport system permease protein	328	152	9108	6043	6	8	953	644	21014	19313	25	22	167	266	135	10383	12771	9144	5	12	0.030466284125497546	1.0	0.4875719947153856	1.0	4.368509801904851E-6	1.0
	423491	424309		+	SSO0491	SSO0491	Phosphate transport system permease protein	269	117	7467	4629	6	7	433	352	9556	10554	13	12	95	138	79	5888	6670	5333	3	7	0.9758947727828232	1.0	0.06352892130063208	1.0	0.0028040578208516857	1.0
424521	424521	425558		+	SSO0493	SSO0493	threonine synthase	2722	1316	75561	52054	49	61	3528	3119	77786	93430	88	82	690	819	682	42771	39369	46021	17	41	0.577434706278914	1.0	7.916584219090873E-5	1.0	8.123898528285783E-7	1.9528722871469995E-6
	425555	426217	426217	+	SSO0494	SSO0494	hypothetical protein	609	337	16920	13350	18	22	570	457	12588	13707	21	19	228	257	188	14142	12378	12742	8	19	0.005524789948495782	1.0	0.002358207652459136	1.0	0.8028108101969437	1.0
426293	426293	427126	427126	+	SSO0495	SSO0495	pyrroline-5-carboxylate reductase	2475	1721	68726	68095	64	82	3584	3090	79037	92543	110	102	413	531	343	25583	25529	23169	12	29	0.39554319074482286	1.0	3.8122178646871705E-20	1.880734423577046E-19	3.5163277992272275E-31	1.2878033457640424E-30
427181	427181	429337		+	SSO0496	SSO0496	hypothetical protein	5819	1959	161538	77483	45	55	11391	8310	251157	248904	126	115	155	238	151	9605	11431	10196	2	4	0.2988082073258731	0.833503538893766	0.0	1.0	0.0	0.0
	429334	430944	430944	+	SSO0497	SSO0497	hypothetical protein	2231	1080	61941	42717	26	32	4878	3412	107569	102209	71	65	128	212	146	7979	10210	9861	2	5	0.2714703346231907	0.775309313469718	5.175878540168968E-112	1.0	0.0	0.0
432187	432187	430925		-	SSO0499	SSO0499	hypothetical protein	2413	1990	66983	78740	44	57	5282	3371	116469	100978	94	86	403	473	337	24948	22728	22769	7	18	0.8672104592241288	1.0	3.265920423370847E-26	1.0	5.092412490248933E-63	2.423957199104729E-62
432244	432244	432486		+	NA	NA	Novel protein	749	274	20796	10858	53	65	654	539	14439	16150	68	62	86	125	107	5355	6016	7274	10	25	0.024447904707966428	0.10982154019610317	2.202743321130652E-14	1.0	1.1419410969517507E-10	3.0645367541472416E-10
	432474	433139	433139	+	SSO0500	SSO0500	hypothetical protein	516	268	14341	10618	15	18	602	415	13276	12450	21	19	120	210	117	7463	10085	7924	5	12	0.05549532047535936	1.0	3.270123696215438E-5	1.0	0.0035827554037543823	1.0
433844	433844	433155	433113	-	SSO0501	SSO0501	hypothetical protein	5272	2670	146367	105613	146	182	7332	5489	161661	164409	257	236	1120	1197	990	69374	57494	66796	38	93	0.4048791596371902	1.0	1.2793006436246457E-8	4.657851349243885E-8	1.0229006828867814E-12	2.90537392867386E-12
433904	433904	434368	434368	+	SSO0502	SSO0502	hypothetical protein	1021	717	28351	28365	47	60	747	612	16475	18347	40	37	1035	1333	898	64103	64033	60651	56	135	9.433324790142692E-7	1.0	0.15766438425039622	0.36875223754431513	3.9338506274390044E-36	1.5099971643918153E-35
434383	434451	434651	434729	+	NA	NA	Novel protein	3485	1547	96744	61196	318	392	967	979	21325	29320	134	125	264	391	286	16373	18782	19300	37	90	9.48482259746622E-27	8.684191984091865E-25	9.461554770927465E-63	7.11444927582058E-62	0.013603481291180606	0.02815667370973752
434783	434783	435706	435706	+	SSO0503	SSO0503	hypothetical protein	9780	5889	271491	232945	215	272	9996	10073	220397	301704	301	282	5391	20231	18332	333729	971385	1236781	382	916	0.09960738304884098	0.35559378833835087	0.008358232097650763	0.022257636030784282	2.869692616893729E-12	8.01916796803427E-12
435707	435745	438549	438551	+	SSO0504	SSO0504	leucyl-tRNA synthetase	2954	3229	82004	127740	27	37	2998	1686	66119	50501	23	20	1777	6629	3764	110024	318311	253998	34	81	2.8689350612174835E-6	1.0	0.3480242675486059	0.7592148177146532	7.270433507409654E-30	2.62867125535032E-29
438552	438552	439487	439487	+	SSO0505	SSO0505	Purine nucleosidase, putative (iunH-1)	3429	3086	95201	122055	88	116	7299	5313	160938	159131	186	170	730	1854	909	45201	89030	61349	30	69	0.6981971588129279	1.0	2.6455539209818648E-6	8.751975936255627E-6	7.024436852372228E-12	1.9420134921345243E-11
439639	439639	439487	439343	-	NA	NA	Novel protein	12003	5647	333204	223369	1468	1818	4017	3827	88570	114615	710	664	2053	2336	2191	127102	112205	147845	346	843	5.815682803999649E-12	1.8858563092553028E-10	5.652958010150243E-8	2.004289098587438E-7	0.2656189399115274	0.5054228361519467
	439598	439738		+	SSO5983	SSO5983	hypothetical protein	38	20	1071	796	5	6	23	13	519	404	3	3	14	91	31	892	4407	2094	7	17	4.2579232959200735E-7	1.0	1.2162423429554698E-4	1.0	4.925706716045726E-63	1.0
439809	439809	440795	440826	+	SSO0506	SSO0506	hypothetical protein	502	692	13940	27386	15	20	422	297	9318	8897	10	9	1233	1575	1116	76346	75634	75297	32	76	2.08662228092942E-14	1.0	1.5436563045306704E-5	4.9034715061265074E-5	3.100665930413599E-286	2.487725010664313E-285
440827	440827	441159	441486	+	SSO0507	SSO0507	hypothetical protein	6762	2789	187715	110327	365	447	3960	3399	87329	101802	306	283	3681	5444	3242	227874	261402	218750	298	708	2.4534111098098557E-4	0.0020810541648060166	0.7407293739628641	1.0	1.9016124763570605E-8	4.789417183575671E-8
	442869	442549		-	SSO0508	SSO0508	hypothetical protein	20	36	572	1460	2	3	8	25	186	761	1	1	14	10	7	897	521	498	0	1	3.84410766609216E-8	1.0	0.003505790961554612	1.0	0.04213956405816933	1.0
442794	443033	443440	444301	+	SSO0509	SSO0509	First ORF in transposon ISC1173	1823	1387	50610	54869	100	129	1518	1498	33490	44872	102	96	7345	13080	7013	454706	628046	473191	541	1271	3.904656114158344E-4	0.0031240887774503677	6.175577591511765E-51	4.300799338339177E-50	0.0	0.0
	443687	443316		-	SSO0510	SSO0510	Second ORF in transposon ISC1217	42	55	1178	2175	3	4	17	32	395	982	1	1	6	6	4	372	290	323	0	0	3.272279353733033E-10	1.0	4.81900670857856E-33	1.0	0.0013946324901154207	1.0
444333	444333	443596		-	SSO0512	SSO0512	First ORF in transposon ISC1217	2626	1098	72909	43444	64	78	1826	1401	40270	41973	60	55	204	189	176	12664	9086	11922	6	15	2.0980812337407603E-4	0.001814257466843052	1.8380616733947452E-92	1.6027691846716643E-91	3.3946282862329236E-38	1.0
444305	444326	445135	445135	+	SSO0511	SSO0511	Second ORF in transposon ISC1173	150	102	4164	4064	3	5	81	56	1796	1696	2	2	421	959	389	26085	46048	26282	17	40	1.1122596374086855E-12	1.0	1.2973982987596124E-42	1.0	0.0	1.0
	445697	445284	445284	-	SSO0514	SSO0514	Third ORF in transposon ISC1229	384	243	10669	9648	19	24	185	204	4095	6114	13	12	187	436	138	11599	20949	9374	14	33	3.894864960608769E-9	1.0	0.3717880952796975	1.0	4.440611713176063E-15	1.0
445862	445862	446953	446953	+	SSO0515	SSO0515	Transposase ISC1359	724	256	20100	10147	11	13	539	499	11896	14957	13	12	162	249	123	10084	11968	8339	3	9	0.007848473924012566	1.0	1.1705562157554758E-5	1.0	0.03766249236446942	1.0
447333	447333	447076	447076	-	SSO6008	SSO6008	Second ORF in transposon ISC1229	372	194	10333	7674	27	34	189	181	4185	5427	19	18	35	43	42	2197	2086	2900	3	9	5.1101277559364744E-8	1.0	7.786211551066543E-27	1.0	1.1432030070672169E-4	1.0
	447715	447338		-	SSO0518	SSO0518	First ORF in transposon ISC1229	186	134	5171	5331	10	13	95	73	2109	2186	6	5	36	36	29	2237	1752	1961	2	5	3.2594300074659795E-14	1.0	2.188956944489232E-12	1.0	0.9783126984746543	1.0
	448625	447894	447894	-	SSO0519	SSO0519	hypothetical protein	454	247	12612	9772	12	15	437	375	9642	11236	15	14	279	305	244	17298	14664	16497	9	22	0.00548620597239634	1.0	0.5450215487425842	1.0	8.16387581414897E-4	1.0
448982	448982	448668	448668	-	SSO0520	SSO0520	hypothetical protein	7094	2007	196933	79403	368	438	5968	4690	131600	140474	469	431	360	426	245	22335	20492	16579	26	62	0.05444785540278775	0.21674702540777271	2.381051174833616E-184	2.7452638175026104E-183	3.265842106620073E-175	2.1816666261605767E-174
449660	449660	449346	449112	-	SSO0521	SSO0521	hypothetical protein	4278	1722	118767	68120	242	296	1568	1506	34584	45121	135	126	640	918	640	39645	44114	43201	56	134	5.926069779694839E-13	1.9625377898074503E-11	8.934916490614216E-11	3.529793205427404E-10	0.63764390536529	1.0
449968	449968	449744	449728	-	NA	NA	Novel protein	3046	971	84560	38442	227	273	2203	1766	48574	52901	244	225	162	188	165	10073	9070	11132	18	44	0.008138156896777748	0.04236468632051694	1.8500111657788754E-135	1.9133171957041988E-134	1.0730393254277262E-83	5.700292525693706E-83
	450920	450009	450009	-	SSO0522	SSO0522	hypothetical protein	1005	401	27898	15861	19	23	1062	915	23429	27423	30	27	153	218	157	9477	10510	10600	4	11	0.13703321291305234	1.0	2.0191523439588064E-12	1.0	2.6277559931078018E-14	1.0
451329	451329	450970		-	SSO0523	SSO0523	hypothetical protein	790	232	21933	9212	36	43	577	546	12727	16363	43	40	29	83	40	1828	4019	2709	3	7	0.01644487573826935	1.0	6.531681636493563E-59	1.0	1.0826792391766416E-46	1.0
