GeneBeg	GeneEnd	Strand	OpensOperon	operon_ID	Locus	Protein.accession	primTSS
449744	449968	-	1	371	NA	NA	449970
450009	450920	-	1	372	SSO0522	NP_342050	NA
450970	451329	-	0	373	SSO0523	NP_342051	NA
451340	451531	-	1	373	SSO6024	NP_342052	NA
451779	452717	+	1	374	SSO0524	NP_342053	NA
453232	453321	-	1	375	SSOt25	N/A	NA
454795	455271	+	1	376	SSO0525	NP_342054	NA
455268	455459	+	0	376	SSO6050	NP_342055	NA
456133	456918	+	1	377	SSO0526	NP_342056	NA
456948	458195	+	1	378	SSO0527	NP_342057	NA
458188	459210	+	0	378	SSO0528	NP_342058	NA
459207	459617	+	0	378	SSO0529	NP_342059	NA
459610	460911	-	1	379	SSO0530	NP_342060	460911
460955	462184	-	0	380	SSO0531	NP_342061	NA
462181	462582	-	0	380	SSO0532	NP_342062	NA
462588	463667	-	0	380	SSO0534	NP_342063	NA
463667	464719	-	1	380	SSO0535	NP_342064	464720
464828	465232	-	1	381	SSO0536	NP_342065	465251
465344	466165	+	1	382	SSO0537	NP_342066	NA
466224	466315	+	1	383	SSOt26	N/A	NA
466421	466963	-	0	384	SSO0538	NP_342067	NA
467074	467478	-	1	384	SSO0539	NP_342068	NA
467825	468256	-	0	385	SSO0540	NP_342069	NA
468259	468426	-	1	385	NA	NA	468432
470914	471864	+	1	386	SSO0541	NP_342070	NA
473189	474277	-	0	387	SSO0543	NP_342071	NA
474274	475011	-	0	387	SSO0544	NP_342072	NA
475014	475874	-	1	387	SSO0545	NP_342073	NA
477077	478162	+	1	388	SSO0546	NP_342074	NA
478181	479362	+	0	388	SSO0548	NP_342075	NA
480397	480546	+	1	389	NA	NA	480397
481138	482103	-	1	390	SSO0549	NP_342076	NA
482449	483393	+	1	391	SSO0550	NP_342077	NA
484290	484916	-	1	392	SSO0551	NP_342078	484799
485808	485882	-	1	393	SSOt27	N/A	NA
486104	488752	+	1	394	SSO0552	NP_342079	486094
488848	489288	-	0	395	SSO0553	NP_342080	NA
489285	489770	-	1	395	SSO0554	NP_342081	489783
489798	490109	-	1	396	SSO0555	NP_342082	490110
490144	490731	+	1	397	SSO0556	NP_342083	490125
490710	491633	-	1	398	SSO0557	NP_342084	NA
491695	493416	+	1	399	SSO0558	NP_342085	491694
493405	495510	-	1	400	SSO0559	NP_342086	495522
495585	495887	+	1	401	SSO0560	NP_342087	495582
495893	496477	+	1	402	SSO0561	NP_342088	NA
496480	498258	+	0	402	SSO0563	NP_342089	NA
498258	499649	+	0	402	SSO0564	NP_342090	NA
499646	500287	+	0	402	SSO0566	NP_342091	NA
500274	500432	+	0	402	SSO6175	NP_342092	NA
500453	500761	+	1	403	SSO0567	NP_342093	NA
500806	502251	+	1	404	SSO0569	NP_342094	500806
502286	502573	+	1	405	SSO6179	NP_342095	502275
502607	503623	+	0	405	SSO0570	NP_342096	NA
503620	504222	+	0	405	SSO0571	NP_342097	NA
504260	505792	+	1	406	SSO0572	NP_342098	504255
505789	506220	-	1	407	SSO0575	NP_342099	506225
506253	507260	-	1	408	SSO0576	NP_342100	NA
507232	507624	-	0	409	SSO0577	NP_342101	NA
507602	509320	-	1	409	SSO0579	NP_342102	509451
509529	510065	-	0	410	SSO0580	NP_342103	NA
510007	510810	-	1	410	SSO0581	NP_342104	NA
510845	511822	+	1	411	SSO0582	NP_342105	510845
511812	512660	-	1	412	SSO0583	NP_342106	NA
512696	512899	+	1	413	NA	NA	512696
512873	513745	-	0	414	SSO0584	NP_342107	NA
513790	514164	-	1	414	SSO0585	NP_342108	514170
514276	514563	+	1	415	SSO6206	NP_342109	514264
514553	515524	+	0	415	SSO0586	NP_342110	NA
515500	516024	-	1	416	SSO0588	NP_342111	516025
516107	518941	+	1	417	SSO0589	NP_342112	516063
518925	519524	-	1	418	SSO0591	NP_342113	NA
519526	520656	+	1	419	SSO0592	NP_342114	NA
520622	521494	+	1	420	SSO0593	NP_342115	NA
521496	522194	+	0	420	SSO0594	NP_342116	NA
522187	522768	+	0	420	SSO0596	NP_342117	NA
522765	523520	+	0	420	SSO0597	NP_342118	NA
523517	524713	+	0	420	SSO0599	NP_342119	NA
524697	524990	+	0	420	SSO6223	NP_342120	NA
524987	525586	+	0	420	SSO0600	NP_342121	NA
525694	525951	+	0	420	SSO6227	NP_342122	NA
525978	526376	+	1	421	SSO0601	NP_342123	525978
526402	527775	+	1	422	SSO0602	NP_342124	526401
527778	529298	-	1	423	SSO0604	NP_342125	529304
529343	529579	-	1	424	NA	NA	529579
529769	530119	-	1	425	SSO0605	NP_342126	530077
530119	530592	-	1	426	SSO0606	NP_342127	530595
530647	531255	-	0	427	SSO0607	NP_342128	NA
531252	531563	-	0	427	SSO0608	NP_342129	NA
531560	531859	-	1	427	SSO0609	NP_342130	531873
531861	532733	-	0	428	SSO0610	NP_342131	NA
532730	533902	-	0	428	SSO0611	NP_342132	NA
533862	534488	-	0	428	SSO0612	NP_342133	NA
534485	534976	-	0	428	SSO0613	NP_342134	NA
534957	535868	-	1	428	SSO0614	NP_342135	535877
535932	536519	+	1	429	SSO0615	NP_342136	NA
536506	537174	+	0	429	SSO0616	NP_342137	NA
537335	537808	+	1	430	SSO0617	NP_342138	537291
537792	538802	-	1	431	SSO0618	NP_342139	538805
538820	539326	-	1	432	SSO0619	NP_342140	539326
539379	539696	-	0	433	SSO0620	NP_342141	NA
539774	540166	-	1	433	SSO0621	NP_342142	540166
540202	540831	+	1	434	SSO0622	NP_342143	540200
540769	541404	-	1	435	SSO0624	NP_342144	541397
541376	542374	-	0	436	SSO0625	NP_342145	NA
542368	542856	-	1	436	SSO0627	NP_342146	542712
542822	543523	+	1	437	SSO0626	NP_342147	542821
543534	543788	+	0	437	SSO6264	NP_342148	NA
543785	544459	+	0	437	SSO0628	NP_342149	NA
544450	546579	+	0	437	SSO0629	NP_342150	NA
546572	547924	+	0	437	SSO0632	NP_342151	NA
547921	549135	+	0	437	SSO0633	NP_342152	NA
549129	550580	+	0	437	SSO0635	NP_342153	NA
550574	551545	+	0	437	SSO0636	NP_342154	NA
551602	552057	+	1	438	SSO0637	NP_342155	NA
552150	552284	+	1	439	NA	NA	552150
552331	553551	+	1	440	SSO0638	NP_342156	NA
553506	554885	+	0	440	SSO0639	NP_342157	NA
554869	555972	+	0	440	SSO0640	NP_342158	NA
555969	559124	+	0	440	SSO0641	NP_342159	NA
559125	559973	+	0	440	SSO0645	NP_342160	NA
559954	560547	-	1	441	SSO0646	NP_342161	560547
560615	561589	+	1	442	SSO0647	NP_342162	560627
561606	562142	-	1	443	SSO0648	NP_342163	562142
562244	562795	-	1	444	SSO0649	NP_342164	NA
562836	563246	+	1	2233	SSO0650	NP_342165	562844
563330	563821	+	1	445	SSO0651	NP_342166	563329
563750	564202	-	1	446	SSO0652	NP_342167	NA
564264	565319	+	1	447	SSO0653	NP_342168	564262
565312	566070	-	1	448	SSO0654	NP_342169	566084
566143	566694	+	1	449	SSO0655	NP_342170	566143
566686	567546	-	1	450	SSO0656	NP_342171	567544
567579	568523	-	0	451	SSO0657	NP_342172	NA
568520	569194	-	0	451	SSO0658	NP_342173	NA
569181	569582	-	1	451	SSO0659	NP_342174	569583
569617	570948	+	1	452	SSO0660	NP_342175	569617
570941	572200	+	0	452	SSO0661	NP_342176	NA
572192	572893	-	0	453	SSO0662	NP_342177	NA
572859	573935	-	1	453	SSO0664	NP_342178	NA
574064	574576	+	1	454	SSO0665	NP_342179	574060
574555	575757	-	0	455	SSO0666	NP_342180	NA
575760	576098	-	0	455	SSO0668	NP_342181	NA
576091	576729	-	1	455	SSO0669	NP_342182	576729
576737	576970	-	1	456	NA	NA	576973
577067	577486	+	1	457	SSO0670	NP_342183	577067
577462	577875	+	0	457	SSO0671	NP_342184	NA
577862	578560	-	0	458	SSO0673	NP_342185	NA
578557	579279	-	0	458	SSO0674	NP_342186	NA
579263	579772	-	1	458	SSO0675	NP_342187	NA
579806	580975	+	1	459	SSO0676	NP_342188	NA
580953	581537	+	0	459	SSO0677	NP_342189	NA
581925	582593	+	1	460	SSO0678	NP_342190	NA
582563	583798	+	0	460	SSO0679	NP_342191	NA
583766	584650	-	1	461	SSO0680	NP_342192	584652
584670	585737	+	1	462	SSO0681	NP_342193	NA
585724	587703	-	0	463	SSO0683	NP_342194	NA
587703	589946	-	1	463	SSO0684	NP_342195	NA
590217	590292	-	1	464	SSOt28	N/A	NA
590460	591716	-	0	465	SSO0686	NP_342196	NA
591723	594278	-	0	465	SSO0687	NP_342197	NA
594271	595011	-	1	465	SSO0688	NP_342198	594971
595385	595458	-	1	466	SSOt29	N/A	NA
595591	596142	+	1	467	SSO0689	NP_342199	NA
596120	596539	-	1	468	SSO0690	NP_342200	596539
596824	597690	-	1	469	SSO0691	NP_342201	NA
597627	597866	-	1	470	NA	NA	597874
597866	598435	-	0	471	SSO0692	NP_342202	NA
598477	598743	-	1	471	SSO6374	NP_342203	598743
598757	599206	-	0	472	SSO0693	NP_342204	NA
599211	599798	-	1	472	SSO0694	NP_342205	NA
599801	601210	-	1	473	SSO0695	NP_342206	NA
601227	601661	-	0	474	SSO0696	NP_342207	601661
601664	602140	-	0	474	SSO0697	NP_342208	NA
602147	602800	-	0	474	SSO0698	NP_342209	NA
602793	603383	-	0	474	SSO0699	NP_342210.2	NA
603389	603844	-	0	474	SSO0700	NP_342211	NA
603841	604257	-	0	474	SSO0701	NP_342212	NA
604254	604799	-	0	474	SSO0702	NP_342213	NA
604809	605210	-	0	474	SSO0703	NP_342214	NA
605217	605381	-	0	474	SSO6391	NP_342215.2	605384
605387	605935	-	0	474	SSO0704	NP_342216	NA
605928	606647	-	0	474	SSO0705	NP_342217	NA
606655	607014	-	0	474	SSO0707	NP_342218	NA
607020	607436	-	0	474	SSO0708	NP_342219	NA
607438	607782	-	1	474	SSO0709	NP_342220	607829
608048	608269	-	0	475	SSO6397	NP_342221	NA
608266	608955	-	0	475	SSO0712	NP_342222	NA
608957	609430	-	0	475	SSO0713	NP_342223	NA
609437	609859	-	0	475	SSO0715	NP_342224	609861
609895	610611	-	0	475	SSO0716	NP_342225	610621
610623	610868	-	0	475	SSO6401	NP_342226	NA
610870	611673	-	0	475	SSO0718	NP_342227	NA
611680	612735	-	1	475	SSO0719	NP_342228	612755
612786	613583	-	0	476	SSO0720	NP_342229	NA
613532	616492	-	1	476	SSO0722	NP_342230	NA
616781	617791	-	1	477	SSO0723	NP_342231	617791
617804	618391	-	1	478	SSO0724	NP_342232	NA
618401	619867	+	1	479	SSO0725	NP_342233	NA
619850	620578	-	0	480	SSO0726	NP_342234	NA
620585	622795	-	1	480	SSO0728	NP_342235	622841
622874	623575	-	1	481	SSO0729	NP_342236	623578
623597	623977	-	1	482	SSO0730	NP_342237	624003
623937	624209	-	1	483	NA	NA	624209
624206	624718	-	0	484	SSO0731	NP_342238	NA
624699	624920	-	1	484	SSO6418	NP_342239	624922
624928	625755	-	0	485	SSO0732	NP_342240	NA
625758	626504	-	0	485	SSO0735	NP_342241	NA
626461	627210	-	0	485	SSO0736	NP_342242	NA
627207	627908	-	0	485	SSO0737	NP_342243	NA
627926	628651	-	1	485	SSO0738	NP_342244	628664
628750	629181	-	0	486	SSO0739	NP_342245	NA
629156	629716	-	0	486	SSO0740	NP_342246	NA
629682	630131	-	1	486	SSO0741	NP_342247	NA
630134	630784	-	1	487	SSO0742	NP_342248	630792
630846	632051	+	1	488	SSO0743	NP_342249.2	630846
632028	633251	-	0	489	SSO0745	NP_342250	NA
633223	633849	-	1	489	SSO0746	NP_342251	633859
633839	634552	-	0	490	SSO0747	NP_342252	NA
634524	635147	-	0	490	SSO0748	NP_342253	NA
635111	635695	-	0	490	SSO0749	NP_342254	NA
635752	636378	-	0	490	SSO0750	NP_342255	NA
636420	636761	-	0	490	SSO0751	NP_342256	NA
636769	637074	-	1	490	SSO0752	NP_342257	NA
637164	637263	+	1	491	SSOt30	N/A	637160
637594	638010	-	0	492	SSO0753	NP_342258	NA
638014	638754	-	1	492	SSO0754	NP_342259	638863
639035	639119	+	1	493	SSOt31	N/A	NA
639120	640448	+	1	494	SSO0755	NP_342260	639194
640497	640570	+	1	495	SSOt32	N/A	NA
640931	641038	-	1	496	SSOt33	N/A	NA
641071	641976	-	0	497	SSO0757	NP_342261	NA
641976	642161	-	0	497	SSO6453	NP_342262	642166
642176	642415	-	1	497	SSO6454	NP_342263	642417
642464	642552	-	1	498	SSOt34	N/A	642552
642880	643587	+	1	499	SSO0758	NP_342264	642869
643584	644639	-	1	500	SSO0760	NP_342265	644639
644710	646629	+	1	501	SSO0761	NP_342266	644688
646823	646897	+	1	502	SSOt35	N/A	NA
646857	647078	-	1	503	SSO6468	NP_342267	647090
647431	647658	+	1	504	SSO6469	NP_342268	647423
648224	648313	-	1	505	SSOt36	N/A	648322
648346	648834	-	0	506	SSO0762	NP_342269	NA
648846	649460	-	1	506	SSO0763	NP_342270	649460
649487	650488	-	1	507	SSO0764	NP_342271	650489
650696	651892	+	1	508	SSO0765	NP_342272	650628
651906	652583	+	1	509	SSO0766	NP_342273	NA
652597	653070	+	0	509	SSO0767	NP_342274	NA
653092	654084	+	1	510	SSO0768	NP_342275	653076
654081	655298	+	0	510	SSO0769	NP_342276	NA
655295	655744	-	0	511	SSO0770	NP_342277	655773
655982	657223	-	1	511	SSO0771	NP_342278	657235
657259	657777	-	1	512	SSO0773	NP_342279	NA
657759	658349	+	1	513	SSO0772	NP_342280	657807
658336	660396	+	0	513	SSO0774	NP_342281	NA
660623	660952	-	0	514	SSO0775	NP_342282	NA
660962	661462	-	0	514	SSO0776	NP_342283	NA
661453	661980	-	1	514	SSO0777	NP_342284	NA
662013	662546	+	1	515	SSO0778	NP_342285	662013
662543	663625	+	0	515	SSO0779	NP_342286	NA
663613	664182	+	1	516	SSO0780	NP_342287	NA
664160	664516	-	1	517	SSO0781	NP_342288	664516
664567	664836	+	1	518	SSO6503	NP_342289	664553
664870	664954	+	1	519	SSOt37	N/A	664870
665401	666081	+	1	520	SSO0782	NP_342290	NA
666288	666677	-	0	521	SSO0783	NP_342291	NA
666652	667260	-	1	521	SSO0784	NP_342292	NA
667951	668595	+	1	522	SSO0785	NP_342293	NA
668738	670138	+	1	523	SSO0786	NP_342294	NA
670643	671608	-	1	524	SSO0787	NP_342295	NA
671864	672922	+	1	525	SSO0788	NP_342296	NA
672919	673809	+	0	525	SSO0789	NP_342297	NA
674105	674659	+	1	526	SSO0790	NP_342298	NA
674909	675976	-	1	527	SSO0791	NP_342299	NA
677071	677490	+	1	528	SSO0792	NP_342300	NA
677448	677852	+	0	528	SSO0793	NP_342301	NA
677873	678988	-	1	529	SSO0794	NP_342302	NA
679721	680596	-	0	530	SSO0795	NP_342303	NA
680593	681300	-	1	530	SSO0796	NP_342304	NA
681478	682593	+	1	531	SSO0797	NP_342305	NA
682698	683090	-	0	532	SSO0798	NP_342306	NA
683080	683778	-	1	532	SSO0799	NP_342307	NA
683888	684199	+	1	533	SSO0800	NP_342308	NA
684470	685837	+	1	534	SSO0801	NP_342309	NA
687242	687691	+	1	535	SSO0802	NP_342310	NA
687582	687905	+	0	535	SSO0803	NP_342311	NA
688085	688381	-	1	536	SSO6566	NP_342312	NA
689456	689974	-	1	537	SSO0804	NP_342313	NA
690131	690535	-	1	538	SSO0805	NP_342314	NA
691118	691417	-	1	539	SSO0806	NP_342315	NA
691470	692135	+	1	540	SSO0807	NP_342316	NA
693360	694151	-	1	541	SSO0808	NP_342317	NA
695680	696612	+	1	542	SSO0809	NP_342318	NA
696609	697838	+	0	542	SSO0810	NP_342319	NA
697868	698608	+	0	542	SSO0813	NP_342320	NA
699058	699834	+	1	543	SSO0814	NP_342321	NA
699834	700166	+	0	543	SSO0816	NP_342322	NA
700409	700750	-	1	544	SSO0817	NP_342323	NA
700784	701518	+	1	545	SSO0818	NP_342324	NA
701525	702574	+	0	545	SSO0819	NP_342325	NA
702575	703540	-	1	546	SSO0820	NP_342326	NA
703579	704502	+	1	547	SSO0821	NP_342327	NA
704511	705065	-	1	548	SSO0822	NP_342328	NA
705264	705734	-	0	549	SSO0823	NP_342329	NA
705741	708023	-	1	549	SSO0825	NP_342330	NA
708093	708392	-	1	550	SSO0826	NP_342331	NA
708600	709052	-	1	551	SSO0827	NP_342332	NA
709667	709972	+	1	552	SSO0828	NP_342333	NA
710062	710967	+	1	553	SSO0829	NP_342334	NA
711881	712834	-	0	554	SSO0830	NP_342335	NA
712831	713865	-	0	554	SSO0831	NP_342336	NA
713867	714547	-	1	554	SSO0832	NP_342337	NA
714739	715269	-	1	555	SSO0833	NP_342338	NA
715707	716276	+	1	556	SSO0834	NP_342339	NA
716488	716790	-	1	557	SSO0836	NP_342340	NA
717064	718473	+	1	558	SSO0837	NP_342341	NA
718611	719330	+	1	559	SSO0838	NP_342342	NA
720549	721523	+	1	560	SSO0840	NP_342343	NA
722533	723915	+	1	561	SSO0842	NP_342344	NA
724198	724509	-	1	562	SSO0844	NP_342345	NA
724600	724884	-	1	563	SSO6659	NP_342346	NA
725084	725314	-	0	564	SSO6661	NP_342347	NA
725327	725485	-	1	564	SSO6663	NP_342348	NA
725782	726423	-	1	565	SSO0845	NP_342349	NA
727179	727760	+	1	566	SSO0846	NP_342350	NA
727824	728192	+	1	567	SSO0847	NP_342351	NA
728189	728737	+	0	567	SSO0848	NP_342352	NA
728964	729368	+	1	568	SSO0849	NP_342353	728964
729570	730520	+	1	569	SSO0850	NP_342354	NA
731109	732032	-	1	570	SSO0851	NP_342355	NA
732174	732614	+	1	571	SSO0852	NP_342356	NA
732720	733019	+	1	572	SSO0853	NP_342357	NA
732937	733011	-	1	573	SSOt38	N/A	NA
733203	735080	-	1	574	SSO0857	NP_342358	735103
735135	735338	+	1	575	SSO6687	NP_342359	735135
735325	735717	+	0	575	SSO0858	NP_342360	NA
735706	736008	-	1	576	NA	NA	736021
736262	736633	+	1	577	SSO0860	NP_342361	736251
736622	738301	-	1	578	SSO0862	NP_342362	738321
738414	739154	+	1	579	SSO0863	NP_342363	738407
739093	739923	-	1	580	SSO0865	NP_342364	739926
739961	740287	-	1	581	SSO0866	NP_342365	740306
740476	741216	-	1	582	SSO0867	NP_342366	741217
741301	742371	-	0	583	SSO0869	NP_342367	NA
742365	742985	-	1	583	SSO0870	NP_342368	742985
743017	743940	+	1	584	SSO0871	NP_342369	743017
743933	745159	-	1	585	SSO0872	NP_342370	NA
745122	745781	-	1	586	SSO0873	NP_342371	NA
745781	746833	-	0	587	SSO0874	NP_342372	NA
746826	748166	-	0	587	SSO0876	NP_342373	NA
748150	749340	-	1	587	SSO0878	NP_342374	749379
749413	750879	+	1	588	SSO0879	NP_342375	749432
750854	751135	-	1	589	SSO6716	NP_342376	751135
751217	751882	+	1	590	SSO0881	NP_342377	751208
751957	754356	+	1	591	SSO0883	NP_342378	NA
754612	755694	-	1	592	SSO0886	NP_342379	755692
755751	756056	+	1	593	SSO0887	NP_342380	755726
756108	757385	+	1	594	SSO0888	NP_342381	NA
757372	758109	+	0	594	SSO0889	NP_342382	NA
758096	759133	+	0	594	SSO0890	NP_342383	NA
759126	759740	+	0	594	SSO0892	NP_342384	NA
759718	760983	+	0	594	SSO0893	NP_342385	NA
760984	761571	+	0	594	SSO0894	NP_342386	NA
761575	762321	+	1	595	SSO0895	NP_342387	761575
762340	763548	+	0	595	SSO0897	NP_342388	NA
763524	763581	+	1	596	NA	NA	763515
763562	766090	-	1	597	SSO0899	NP_342389	NA
766078	767073	+	1	598	SSO0898	NP_342390	766077
767033	767422	+	0	598	SSO0900	NP_342391	NA
767419	767742	+	0	598	SSO0901	NP_342392	NA
767703	768017	-	0	599	SSO0902	NP_342393	NA
768014	768232	-	1	599	SSO6759	NP_342394	768240
768342	768863	+	1	600	SSO0903	NP_342395	NA
768805	769428	+	0	600	SSO0904	NP_342396	NA
769622	770602	+	1	601	SSO0905	NP_342397	769615
770599	771720	+	0	601	SSO0906	NP_342398	NA
771711	771998	+	0	601	SSO6768	NP_342399	NA
772004	774010	+	0	601	SSO0907	NP_342400	NA
774064	775182	-	0	602	SSO0909	NP_342401	NA
775198	775977	-	1	602	SSO0910	NP_342402	775980
775996	776793	-	1	603	SSO0911	NP_342403	776821
776890	777141	+	1	604	SSO6778	NP_342404	NA
777138	778397	-	1	605	SSO0913	NP_342405	NA
778428	778736	+	1	606	SSO0914	NP_342406	NA
778742	779071	+	1	607	SSO0915	NP_342407	778741
779052	779477	+	0	607	SSO0916	NP_342408	NA
779470	780996	-	0	608	SSO0917	NP_342409	NA
780980	782347	-	1	608	SSO0918	NP_342410	782354
782382	783422	+	1	609	SSO0919	NP_342411	782382
783434	783847	+	1	610	SSO0920	NP_342412	NA
783840	784595	+	1	611	SSO0921	NP_342413	NA
784602	784970	+	0	611	SSO0922	NP_342414	NA
785043	786044	+	1	612	SSO0923	NP_342415	785030
786061	786549	+	1	613	SSO0925	NP_342416	786061
786874	788313	+	1	614	SSO0927	NP_342417	786863
788300	789469	+	0	614	SSO0928	NP_342418	NA
789677	789766	-	1	615	SSOt39	N/A	789769
789937	790009	+	1	616	SSOt40	N/A	NA
790181	792706	+	1	617	SSO0929	NP_342419	790183
792761	793129	+	1	618	SSO0931	NP_342420	792742
793122	794162	-	1	619	SSO0934	NP_342421	794185
794235	796136	-	0	620	SSO0936	NP_342422	NA
796129	797463	-	1	620	SSO0938	NP_342423	797463
797497	797655	-	1	621	SSO6817	NP_342424	797665
797721	798959	+	1	622	SSO0939	NP_342425	797716
798966	799664	+	0	622	SSO0940	NP_342426	NA
799669	800085	+	0	622	SSO0941	NP_342427	NA
800089	801021	+	1	623	SSO0942	NP_342428	NA
800987	802123	+	0	623	SSO0943	NP_342429	NA
802115	802492	-	1	624	SSO0944	NP_342430	802512
802675	803556	-	1	625	SSO0946	NP_342431	803599
803556	803825	-	1	626	NA	NA	803828
803980	804876	+	1	627	SSO0947	NP_342432	803976
804848	805915	+	0	627	SSO0949	NP_342433	804848
805902	806108	-	1	628	NA	NA	806119
806139	806999	+	1	629	SSO0950	NP_342434	NA
806988	807533	-	1	630	SSO0951	NP_342435	807597
807634	808389	-	1	631	SSO0952	NP_342436	808391
808432	809205	+	1	632	SSO0953	NP_342437	NA
809187	809867	+	1	633	SSO0954	NP_342438	NA
809864	810391	-	0	634	SSO0955	NP_342439	NA
810524	811621	-	1	634	SSO0956	NP_342440	811603
811637	813073	-	0	635	SSO0957	NP_342441	NA
813066	813359	-	1	635	SSO6855	NP_342442	813360
813804	815459	+	1	636	SSO0959	NP_342443	813782
815475	815990	-	1	637	SSO0960	NP_342444	815981
816329	816649	-	1	638	SSO0961	NP_342445	816658
816731	817033	-	1	639	SSO0962	NP_342446	817045
817144	820644	+	1	640	SSO0963	NP_342447	NA
820609	820878	-	1	641	SSO6877	NP_342448	820886
820990	823791	-	1	642	SSO0965	NP_342449	823822
824180	825628	+	1	643	SSO0966	NP_342450	824171
825625	826563	+	0	643	SSO0967	NP_342451	NA
826592	828184	+	1	644	SSO0968	NP_342452	NA
828181	829350	+	0	644	SSO0969	NP_342453	NA
829350	829407	-	1	645	NA	NA	NA
829584	829640	+	1	646	NA	NA	829584
829696	830091	+	1	647	SSO0970	NP_342454	829684
830094	831437	+	0	647	SSO0971	NP_342455	NA
831406	832518	+	0	647	SSO0972	NP_342456	NA
832542	833411	+	1	648	SSO0974	NP_342457	832542
833436	834233	+	1	649	SSO0975	NP_342458	NA
834345	834527	+	1	650	SSO6901	NP_342459	834336
834557	835240	+	1	651	SSO0976	NP_342460	834553
835237	835521	+	0	651	SSO6904	NP_342461	NA
835585	836970	+	1	652	SSO0977	NP_342462	835583
837019	837118	+	1	653	SSOt41	N/A	NA
837100	837783	-	1	654	SSO0978	NP_342463	NA
838169	839233	-	1	655	SSO0980	NP_342464	NA
839386	840744	-	0	656	SSO0981	NP_342465	NA
840744	841259	-	1	656	SSO0983	NP_342466	841257
841379	842476	-	0	657	SSO0985	NP_342467	NA
842473	843159	-	0	657	SSO0986	NP_342468	NA
843169	844869	-	0	657	SSO0987	NP_342469	NA
844856	846199	-	1	657	SSO0988	NP_342470	846199
846234	847502	+	1	658	SSO0989	NP_342471	846236
847516	849384	+	0	658	SSO0990	NP_342472	NA
849392	851026	+	1	659	SSO0991	NP_342473	849390
851273	852463	+	1	660	SSO0992	NP_342474	851273
852456	852767	+	0	660	SSO0994	NP_342475	NA
852826	853197	-	1	661	SSO0995	NP_342476	NA
853239	854066	-	0	662	SSO0996	NP_342477	NA
854063	855526	-	1	662	SSO0997	NP_342478	NA
855569	856504	+	1	663	SSO0998	NP_342479	NA
856747	858180	+	1	664	SSO0999	NP_342480	NA
858177	859004	+	0	664	SSO1000	NP_342481	NA
859006	859809	+	0	664	SSO1001	NP_342482	NA
859806	860780	+	0	664	SSO1003	NP_342483	NA
860974	862209	+	1	665	SSO1004	NP_342484	NA
862206	863093	+	0	665	SSO1005	NP_342485	NA
863102	864232	+	0	665	SSO1007	NP_342486	NA
864330	864959	+	1	666	SSO1008	NP_342487	NA
865035	866441	-	1	667	SSO1009	NP_342488	866441
867403	868398	-	0	668	SSO1010	NP_342489	NA
868399	870048	-	1	668	SSO1012	NP_342490	870048
871672	873167	+	1	669	SSOr03	N/A	NA
873352	876400	+	1	670	SSOr04	N/A	NA
876820	877941	-	1	671	SSO1018	NP_342491	NA
878058	878894	+	1	672	SSO1019	NP_342492	878073
878898	879254	-	0	673	SSO1020	NP_342493	NA
879264	881129	-	0	673	SSO1021	NP_342494	NA
881006	881611	-	0	673	SSO1022	NP_342495	NA
881608	882783	-	0	673	SSO1023	NP_342496	NA
882780	884102	-	0	673	SSO1024	NP_342497	NA
884108	884749	-	0	673	SSO1025	NP_342498	NA
884757	885719	-	1	673	SSO1026	NP_342499	NA
886455	886865	+	1	674	SSO1027	NP_342500	886461
886897	887595	+	0	674	SSO1028	NP_342501	NA
887650	889623	+	1	675	SSO1029	NP_342502	887650
889657	890400	+	1	676	SSO1030	NP_342503	NA
890439	891647	+	0	676	SSO1031	NP_342504	NA
891622	892419	+	0	676	SSO1032	NP_342505	NA
892443	894620	+	1	677	SSO1033	NP_342506	NA
895429	896043	-	0	678	SSO1034	NP_342507	NA
896036	897130	-	0	678	SSO1035	NP_342508	NA
897163	897495	-	1	678	SSO1036	NP_342509	NA
898277	898373	-	1	679	SSOt42	N/A	898373
898750	899520	-	0	680	SSO1038	NP_342510	NA
899337	900575	-	1	680	SSO1039	NP_342511	NA
900535	901119	-	1	681	SSO1040	NP_342512	901136
901138	901704	+	1	682	SSO1041	NP_342513	901174
901697	902134	+	0	682	SSO1042	NP_342514	NA
902135	903010	-	1	683	SSO1043	NP_342515	NA
903007	903951	-	1	684	SSO1044	NP_342516	NA
903948	904832	-	1	685	SSO1045	NP_342517	904824
904866	905645	+	1	686	SSO1046	NP_342518	904875
905678	906418	+	1	687	SSO1047	NP_342519	NA
906384	907376	+	0	687	SSO1048	NP_342520	NA
907366	907821	+	0	687	SSO1049	NP_342521	NA
907818	908105	+	1	688	SSO7111	NP_342522	NA
908102	908302	+	0	688	SSO7114	NP_342523	NA
908305	909105	+	0	688	SSO1050	NP_342524	NA
909102	909272	+	1	689	SSO7115	NP_342525	NA
909262	911556	-	1	690	SSO1052	NP_342526	NA
911795	913708	+	1	691	SSO1053	NP_342527	NA
913690	913775	-	1	692	SSOt43	N/A	NA
914084	915613	+	1	693	SSO1054	NP_342528	NA
915708	915781	+	1	694	SSOt44	N/A	NA
916860	917306	+	1	695	SSO1055	NP_342529	916857
917303	917719	+	0	695	SSO1056	NP_342530	NA
917747	918091	+	1	696	SSO1057	NP_342531	917749
918081	918722	-	1	697	SSO1059	NP_342532	NA
919106	919945	-	0	698	SSO1060	NP_342533	NA
